Type,Length,Time,Error
Array,100000,3,0
Array,200000,3,1
Array,300000,4,0
Array,400000,3,0
Array,500000,6,1
Array,600000,6,0
Array,700000,5,0
Array,800000,5,0
Array,900000,6,0
Array,1000000,6,1
Array,1100000,7,0
Array,1200000,10,0
Array,1300000,12,0
Array,1400000,10,0
Array,1500000,10,1
Array,1600000,12,0
Array,1700000,12,0
Array,1800000,11,0
Array,1900000,17,0
Array,2000000,13,0
Array,2100000,13,0
Array,2200000,15,0
Array,2300000,15,0
Array,2400000,21,0
Array,2500000,16,0
Array,2600000,20,0
Array,2700000,18,0
Array,2800000,17,0
Array,2900000,18,0
Array,3000000,20,0
Array,3100000,21,0
Array,3200000,25,0
Array,3300000,21,0
Array,3400000,24,0
Array,3500000,27,0
Array,3600000,25,0
Array,3700000,25,0
Array,3800000,28,0
Array,3900000,27,0
Array,4000000,24,0
Array,4100000,32,1
Array,4200000,28,0
Array,4300000,28,0
Array,4400000,35,0
Array,4500000,28,1
Array,4600000,30,0
Array,4700000,29,1
Array,4800000,29,0
Array,4900000,42,0
Array,5000000,35,0
Array,5100000,31,0
Array,5200000,31,0
Array,5300000,45,0
Array,5400000,41,0
Array,5500000,33,0
Array,5600000,40,0
Array,5700000,35,0
Array,5800000,39,0
Array,5900000,42,0
Array,6000000,40,0
Array,6100000,36,0
Array,6200000,39,0
Array,6300000,38,0
Array,6400000,39,0
Array,6500000,42,0
Array,6600000,41,0
Array,6700000,50,0
Array,6800000,58,0
Array,6900000,44,0
Array,7000000,43,0
Array,7100000,43,0
Array,7200000,46,0
Array,7300000,47,0
Array,7400000,44,0
Array,7500000,47,0
Array,7600000,54,0
Array,7700000,52,0
Array,7800000,48,0
Array,7900000,50,0
Array,8000000,60,0
Array,8100000,51,0
Array,8200000,56,1
Array,8300000,55,0
Array,8400000,51,0
Array,8500000,57,0
Array,8600000,55,0
Array,8700000,58,0
Array,8800000,61,0
Array,8900000,62,0
Array,9000000,53,0
Array,9100000,58,0
Array,9200000,57,0
Array,9300000,64,0
Array,9400000,61,0
Array,9500000,63,0
Array,9600000,57,0
Array,9700000,68,0
Array,9800000,58,0
Array,9900000,62,0
Array,10000000,66,0
ArrayList,100000,2,0
ArrayList,200000,2,0
ArrayList,300000,3,0
ArrayList,400000,3,0
ArrayList,500000,5,1
ArrayList,600000,7,0
ArrayList,700000,8,0
ArrayList,800000,5,0
ArrayList,900000,6,0
ArrayList,1000000,9,1
ArrayList,1100000,9,0
ArrayList,1200000,9,0
ArrayList,1300000,14,0
ArrayList,1400000,11,0
ArrayList,1500000,12,1
ArrayList,1600000,17,0
ArrayList,1700000,13,0
ArrayList,1800000,15,0
ArrayList,1900000,14,0
ArrayList,2000000,14,0
ArrayList,2100000,13,0
ArrayList,2200000,20,0
ArrayList,2300000,17,0
ArrayList,2400000,14,0
ArrayList,2500000,17,0
ArrayList,2600000,27,0
ArrayList,2700000,17,0
ArrayList,2800000,18,0
ArrayList,2900000,19,0
ArrayList,3000000,23,0
ArrayList,3100000,23,0
ArrayList,3200000,21,0
ArrayList,3300000,31,0
ArrayList,3400000,22,0
ArrayList,3500000,33,0
ArrayList,3600000,35,0
ArrayList,3700000,23,0
ArrayList,3800000,31,0
ArrayList,3900000,40,0
ArrayList,4000000,32,0
ArrayList,4100000,31,0
ArrayList,4200000,36,0
ArrayList,4300000,38,0
ArrayList,4400000,31,0
ArrayList,4500000,34,1
ArrayList,4600000,38,0
ArrayList,4700000,43,1
ArrayList,4800000,40,0
ArrayList,4900000,34,0
ArrayList,5000000,35,0
ArrayList,5100000,33,0
ArrayList,5200000,39,0
ArrayList,5300000,32,0
ArrayList,5400000,39,0
ArrayList,5500000,36,0
ArrayList,5600000,40,0
ArrayList,5700000,40,0
ArrayList,5800000,35,0
ArrayList,5900000,37,0
ArrayList,6000000,48,0
ArrayList,6100000,47,0
ArrayList,6200000,39,0
ArrayList,6300000,51,0
ArrayList,6400000,43,0
ArrayList,6500000,54,0
ArrayList,6600000,40,0
ArrayList,6700000,46,0
ArrayList,6800000,43,0
ArrayList,6900000,60,0
ArrayList,7000000,45,0
ArrayList,7100000,50,0
ArrayList,7200000,47,0
ArrayList,7300000,45,0
ArrayList,7400000,47,0
ArrayList,7500000,47,0
ArrayList,7600000,51,0
ArrayList,7700000,50,0
ArrayList,7800000,82,0
ArrayList,7900000,59,0
ArrayList,8000000,63,0
ArrayList,8100000,59,0
ArrayList,8200000,51,1
ArrayList,8300000,76,0
ArrayList,8400000,63,0
ArrayList,8500000,60,0
ArrayList,8600000,62,0
ArrayList,8700000,54,0
ArrayList,8800000,55,0
ArrayList,8900000,60,0
ArrayList,9000000,58,0
ArrayList,9100000,60,0
ArrayList,9200000,56,0
ArrayList,9300000,60,0
ArrayList,9400000,79,0
ArrayList,9500000,65,0
ArrayList,9600000,62,0
ArrayList,9700000,64,0
ArrayList,9800000,70,0
ArrayList,9900000,75,0
ArrayList,10000000,64,0
HashSet,100000,2,0
HashSet,200000,3,0
HashSet,300000,3,0
HashSet,400000,9,0
HashSet,500000,6,0
HashSet,600000,15,0
HashSet,700000,8,0
HashSet,800000,13,0
HashSet,900000,19,0
HashSet,1000000,13,0
HashSet,1100000,16,0
HashSet,1200000,18,0
HashSet,1300000,18,0
HashSet,1400000,18,0
HashSet,1500000,17,0
HashSet,1600000,25,0
HashSet,1700000,32,0
HashSet,1800000,28,0
HashSet,1900000,32,0
HashSet,2000000,33,0
HashSet,2100000,26,0
HashSet,2200000,55,0
HashSet,2300000,43,0
HashSet,2400000,50,0
HashSet,2500000,47,0
HashSet,2600000,59,0
HashSet,2700000,55,0
HashSet,2800000,57,0
HashSet,2900000,52,0
HashSet,3000000,57,0
HashSet,3100000,56,0
HashSet,3200000,56,0
HashSet,3300000,61,0
HashSet,3400000,65,0
HashSet,3500000,69,0
HashSet,3600000,79,0
HashSet,3700000,83,0
HashSet,3800000,104,0
HashSet,3900000,61,0
HashSet,4000000,72,0
HashSet,4100000,72,0
HashSet,4200000,86,0
HashSet,4300000,95,0
HashSet,4400000,115,0
HashSet,4500000,115,0
HashSet,4600000,116,0
HashSet,4700000,116,0
HashSet,4800000,121,0
HashSet,4900000,111,0
HashSet,5000000,137,0
HashSet,5100000,122,0
HashSet,5200000,102,0
HashSet,5300000,126,0
HashSet,5400000,139,0
HashSet,5500000,159,0
HashSet,5600000,122,0
HashSet,5700000,139,0
HashSet,5800000,153,0
HashSet,5900000,151,0
HashSet,6000000,124,0
HashSet,6100000,172,0
HashSet,6200000,131,0
HashSet,6300000,151,0
HashSet,6400000,127,0
HashSet,6500000,148,0
HashSet,6600000,139,0
HashSet,6700000,162,0
HashSet,6800000,131,0
HashSet,6900000,145,0
HashSet,7000000,169,0
HashSet,7100000,165,0
HashSet,7200000,166,0
HashSet,7300000,183,0
HashSet,7400000,131,0
HashSet,7500000,154,0
HashSet,7600000,147,0
HashSet,7700000,178,0
HashSet,7800000,170,0
HashSet,7900000,168,0
HashSet,8000000,217,0
HashSet,8100000,186,0
HashSet,8200000,197,0
HashSet,8300000,193,0
HashSet,8400000,173,0
HashSet,8500000,207,0
HashSet,8600000,178,0
HashSet,8700000,171,0
HashSet,8800000,186,0
HashSet,8900000,205,0
HashSet,9000000,198,0
HashSet,9100000,211,0
HashSet,9200000,212,0
HashSet,9300000,216,0
HashSet,9400000,208,0
HashSet,9500000,217,0
HashSet,9600000,216,0
HashSet,9700000,225,0
HashSet,9800000,190,0
HashSet,9900000,233,0
HashSet,10000000,209,0
